Comment,Description,Designator,Footprint,Manufacturer Part Number,Manufacturer
0,RES 0.0 OHM 1/10W JUMP 0402 SMD,"R6, R7, R10, R11, R21, R22",R0402_0.40MM_HD,ERJ-2GE0R00X,Panasonic Electronic Components
0.1uF 6v,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,"C6, C12, C13, C14, C15, C16, C17, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41",C0201_PERFECT,CC0201KRX5R5BB104,Yageo
1k,RES 1K OHM 1/10W 1% 0402 SMD,"R16, R19, R20",R0402_0.40MM_HD,ERJ-2RKF1001X,Panasonic Electronic Components
9.5pF,CAP CER 9.5PF 50V C0G/NP0 0402,"C44, C45",PERFECT_0402,GCQ1555C1H9R5BB01D,Murata Electronics
10k,RES 10K OHM 1/10W 1% 0402 SMD,R1,R0402_0.40MM_HD,ERJ-2RKF1002X,Panasonic Electronic Components
18pF,CAP CER 18PF 50V C0G 0402,"C11, C19",C0402_0.55MM_HD,CGA2B2C0G1H180J050BA,TDK Corporation
24MHz,CRYSTAL 24.000MHZ 18PF SMD,X2,ABM3,ABM3-24.000MHZ-B2-T,Abracon Corporation
32.768kHz,CRYSTAL 32.768KHZ 9PF SMD,X1,XTAL_3215,NX3215SA-32.768K-STD-MUA-9,NDK
100k,RES 100K OHM 1/10W 1% 0402 SMD,"R8, R9, R12, R13, R14",R0402_0.40MM_HD,ERJ-2RKF1003X,Panasonic Electronic Components
APS6408L-3OBM-BA,3.3v Double-Data-Rate Octal SPI Xccela PSRAM,U6,BGA24C100P5X5_600X800X120,APS6408L-3OBM-BA,AP Memory
LED 1.6X0.8MM 570NM GRN CLR SMD,LED 1.6X0.8MM 570NM GRN CLR SMD,D3,LED_0603 - GREEN,APT1608CGCK,Kingbright Corp
LED 1.6X0.8MM 630NM RED CLR SMD,LED 1.6X0.8MM 630NM RED CLR SMD,D4,LED_0603 - RED,APT1608SURCK,Kingbright Corp
SN74AUC1G07DBVR,IC BUFF NON-INVERT 2.7 V SOT23-5,U3,SOT23-5,SN74AUC1G07DBVR,Texas Instruments
0.1µF,CAP CER 0.1UF 16V X7R 0402,C43,C0402_0.55MM_MD,CGA2B1X7R1C104K050BC,TDK Corporation
0.47µF,CAP CER 0.47UF 25V X5R 0402,C3,C0402_0.55MM_HD,GRT155R61E474KE01D,Murata Electronics
1µF,CAP CER 1UF 10V X7S 0402,"C4, C8, C10",C0402_0.55MM_HD,GCM155C71A105KE38D,Murata Electronics
2.2µF,CAP CER 2.2UF 6.3V X7R 0603,"C1, C5, C18",C0603_0.90MM_MD,GCM188R70J225KE22D,Murata Electronics
2.2µH 1.5A,Inductor 2.2µH 1.5A,"L2, L3",L_NRH3012,NRH3012T2R2MN,Taiyo Yuden
2.2k,RES 2.2K OHM 1/10W 1% 0402 SMD,"R3, R4",R0402_0.40MM_HD,ERJ-2RKF2201X,Panasonic Electronic Components
4.7µF,CAP CER 4.7UF 6.3V X7S 0603,"C2, C42",C0603_1.00MM_MD,GCJ188C70J475KE02D,Murata Electronics
10µF,CAP CER 10UF 10V X5R 0603,"C7, C9",C0603_0.90MM_MD,GRT188R61A106ME13D,Murata Electronics
20k,RES 20K OHM 1/10W 1% 0402 SMD,"R2, R5",R0402_0.40MM_HD,ERJ-2RKF2002X,Panasonic Electronic Components
MIMXRT685SFVKB,SOC i.MX ARM Cortex M33 176-Pin VFBGA Tray,U1,VFBGA176,MIMXRT685SFVKB,NXP Semiconductors
PCA9420BSAZ,Power Management IC for Low-Power Microcontroller Applications 24-Pin HVQFN,U2,PCA9420,PCA9420BSAZ,NXP Semiconductors
BAT760-7,DIODE SCHOTTKY 30V 1A SOD323,"D1, D2",D_SOD-323_P,BAT760-7,Diodes Inc
"PRTR5V0U2X,215",TVS DIODE 5.5VWM SOT143B,U4,SOT143B,"PRTR5V0U2X,215",NXP Semiconductors
